Variable,Problema detectado,Transformación,Registros afectados,Justificación
TELEFONO,"Formatos heterogéneos: separadores mixtos (guion, coma, espacio, palabras), múltiples números por celda, longitudes de 7 u 8 dígitos.",Se extrajeron y normalizaron 10902 valores a solo dígitos; se separaron números adicionales en TELEFONO_ADICIONAL (150 registros); 19 registros no pudieron normalizarse automáticamente y quedaron como NA.,10902,Deja un único número principal en formato consistente (7-8 dígitos) para validación y reporta explícitamente los residuales no parseables para revisión manual.
TELEFONO_ADICIONAL (derivada),"Un mismo registro puede tener más de un número telefónico (oficina + fax, dos contactos, etc.).",Se creó la variable derivada TELEFONO_ADICIONAL con los números sobrantes tras quedarse con el primero como TELEFONO principal (150 registros).,150,Evita perder información de contacto adicional sin romper el formato de una única variable TELEFONO principal.
NIVEL,Tipo de dato genérico (texto) para una variable categórica de dominio fijo.,Convertida a tipo category (1 categorías tras eliminar filas fantasma).,11867,Refleja correctamente que es una variable categórica de dominio limitado; facilita validaciones de dominio futuras.
SECTOR,Tipo de dato genérico (texto) para una variable categórica de dominio fijo.,Convertida a tipo category (4 categorías tras eliminar filas fantasma).,11867,Refleja correctamente que es una variable categórica de dominio limitado; facilita validaciones de dominio futuras.
AREA,Tipo de dato genérico (texto) para una variable categórica de dominio fijo.,Convertida a tipo category (3 categorías tras eliminar filas fantasma).,11867,Refleja correctamente que es una variable categórica de dominio limitado; facilita validaciones de dominio futuras.
STATUS,Tipo de dato genérico (texto) para una variable categórica de dominio fijo.,Convertida a tipo category (5 categorías tras eliminar filas fantasma).,11867,Refleja correctamente que es una variable categórica de dominio limitado; facilita validaciones de dominio futuras.
MODALIDAD,Tipo de dato genérico (texto) para una variable categórica de dominio fijo.,Convertida a tipo category (2 categorías tras eliminar filas fantasma).,11867,Refleja correctamente que es una variable categórica de dominio limitado; facilita validaciones de dominio futuras.
JORNADA,Tipo de dato genérico (texto) para una variable categórica de dominio fijo.,Convertida a tipo category (6 categorías tras eliminar filas fantasma).,11867,Refleja correctamente que es una variable categórica de dominio limitado; facilita validaciones de dominio futuras.
PLAN,Tipo de dato genérico (texto) para una variable categórica de dominio fijo.,Convertida a tipo category (13 categorías tras eliminar filas fantasma).,11867,Refleja correctamente que es una variable categórica de dominio limitado; facilita validaciones de dominio futuras.
GRUPO_DUPLICADO_ID / TIPO_DUPLICADO (derivadas),"Existen registros con nombre muy similar en la misma dirección; la mayoría corresponden a ofertas de distinta jornada/plan del mismo establecimiento, no a errores.",Se crearon las variables derivadas GRUPO_DUPLICADO_ID y TIPO_DUPLICADO (5532 filas etiquetadas en 1988 grupos). No se eliminó ningún registro.,5532,"Cumple el requisito de detectar duplicados parciales sin depurarlos automáticamente; deja trazabilidad para revisión manual posterior, priorizando los 'posible_error'."
